Block,Variety,X,Y
1,1,34,93
1,2,39.6,47.3
1,3,31.7,81.4
1,4,37.7,66.9
1,5,24.9,119.5
1,6,30.3,106.6
1,7,32.7,106.1
1,8,34.5,61.5
1,9,31.4,80.5
1,10,21.2,149.2
1,11,30.8,78.7
2,1,33.4,94.8
2,2,39.8,51.5
2,3,30.1,109
2,4,38.2,74.1
2,5,24,128.5
2,6,29.1,111.4
2,7,33.8,107.2
2,8,31.5,83.4
2,9,30.5,106.5
2,10,25.3,151.6
2,11,26.4,116.9
3,1,34.7,91.7
3,2,51.2,33.3
3,3,33.8,71.6
3,4,40.3,64.7
3,5,24.9,125.6
3,6,31.7,99
3,7,34.8,97.5
3,8,31.1,93.9
3,9,34.6,76.7
3,10,23.5,170.1
3,11,33.2,71.8
4,1,38.9,80.8
4,2,52,27.2
4,3,39.6,57.5
4,4,39.4,69.3
4,5,23.5,129
4,6,28.3,126.1
4,7,35.4,86
4,8,36.1,69
4,9,30.9,91.8
4,10,24.8,155.2
4,11,33.5,70.3
5,1,36.1,80.2
5,2,56.2,20.6
5,3,47.8,30.1
5,4,41.3,63.2
5,5,25.1,126.2
5,6,34.2,95.6
5,7,37.8,88.8
5,8,38.5,46.9
5,9,36.8,68.2
5,10,24.6,146.1
5,11,43.8,40.9
