Fert_N,Farm,Biomass,Ethanol
0,1,80.5,4102.5
0,1,80.8,4110.8
0,1,80.4,4149.1
0,2,80.1,4143.3
0,2,80.2,4144.8
0,2,80.3,4156.9
0,3,80.9,4129.8
0,3,80.6,4176.2
0,3,80,4143.2
0,4,80.8,4084.1
0,4,80.9,4176.3
0,4,80.7,4123.7
150,1,86.3,4372.9
150,1,86.3,4371
150,1,86.8,4374.7
150,2,86,4284.3
150,2,86.9,4460
150,2,86.8,4469.4
150,3,85.8,4311.6
150,3,85.9,4376.7
150,3,85.4,4390.8
150,4,86.8,4411.7
150,4,86.9,4441.7
150,4,86.6,4423.2
300,1,92.9,4401.3
300,1,92.9,4367.5
300,1,92.4,4411.7
300,2,89,4292.9
300,2,88.1,4236.6
300,2,88.7,4232.9
300,3,89.9,4299.1
300,3,89.8,4416.9
300,3,89.4,4283.5
300,4,92.3,4489.5
300,4,92.2,4468.6
300,4,92.4,4538.2
