Trtmt,Pot,Plant,Growth
Cond1,Pot1,Plant1,3.5
Cond1,Pot1,Plant2,4
Cond1,Pot1,Plant3,3
Cond1,Pot1,Plant4,4.5
Cond1,Pot2,Plant1,2.5
Cond1,Pot2,Plant2,4.5
Cond1,Pot2,Plant3,5.5
Cond1,Pot2,Plant4,5
Cond1,Pot3,Plant1,3
Cond1,Pot3,Plant2,3
Cond1,Pot3,Plant3,2.5
Cond1,Pot3,Plant4,3
Cond2,Pot1,Plant1,5
Cond2,Pot1,Plant2,5.5
Cond2,Pot1,Plant3,4
Cond2,Pot1,Plant4,3.5
Cond2,Pot2,Plant1,3.5
Cond2,Pot2,Plant2,3.5
Cond2,Pot2,Plant3,3
Cond2,Pot2,Plant4,4
Cond2,Pot3,Plant1,4.5
Cond2,Pot3,Plant2,4
Cond2,Pot3,Plant3,4
Cond2,Pot3,Plant4,5
Cond3,Pot1,Plant1,5
Cond3,Pot1,Plant2,4.5
Cond3,Pot1,Plant3,5
Cond3,Pot1,Plant4,4.5
Cond3,Pot2,Plant1,5.5
Cond3,Pot2,Plant2,6
Cond3,Pot2,Plant3,5
Cond3,Pot2,Plant4,5
Cond3,Pot3,Plant1,5.5
Cond3,Pot3,Plant2,4.5
Cond3,Pot3,Plant3,6.5
Cond3,Pot3,Plant4,5.5
Cond4,Pot1,Plant1,8.5
Cond4,Pot1,Plant2,6
Cond4,Pot1,Plant3,9
Cond4,Pot1,Plant4,8.5
Cond4,Pot2,Plant1,6.5
Cond4,Pot2,Plant2,7
Cond4,Pot2,Plant3,8
Cond4,Pot2,Plant4,6.5
Cond4,Pot3,Plant1,7
Cond4,Pot3,Plant2,7
Cond4,Pot3,Plant3,7
Cond4,Pot3,Plant4,7
Cond5,Pot1,Plant1,6
Cond5,Pot1,Plant2,5.5
Cond5,Pot1,Plant3,3.5
Cond5,Pot1,Plant4,7
Cond5,Pot2,Plant1,6
Cond5,Pot2,Plant2,8.5
Cond5,Pot2,Plant3,4.5
Cond5,Pot2,Plant4,7.5
Cond5,Pot3,Plant1,6.5
Cond5,Pot3,Plant2,6.5
Cond5,Pot3,Plant3,8.5
Cond5,Pot3,Plant4,7.5
Cond6,Pot1,Plant1,7
Cond6,Pot1,Plant2,9
Cond6,Pot1,Plant3,8.5
Cond6,Pot1,Plant4,8.5
Cond6,Pot2,Plant1,6
Cond6,Pot2,Plant2,7
Cond6,Pot2,Plant3,7
Cond6,Pot2,Plant4,7
Cond6,Pot3,Plant1,11
Cond6,Pot3,Plant2,7
Cond6,Pot3,Plant3,9
Cond6,Pot3,Plant4,8
