Soil,Var,Block,Yield
1,1,1,22.1
1,2,1,27.1
1,3,1,22.3
1,4,1,19.8
1,5,1,20
2,1,1,13.5
2,2,1,16.9
2,3,1,15.7
2,4,1,15.1
2,5,1,21.8
3,1,1,19
3,2,1,20
3,3,1,16.4
3,4,1,24.5
3,5,1,11.8
1,1,2,24.1
1,2,2,15.1
1,3,2,25.8
1,4,2,28.3
1,5,2,17
2,1,2,14.5
2,2,2,17.4
2,3,2,10.2
2,4,2,6.5
2,5,2,22.8
3,1,2,22
3,2,2,22
3,3,2,14.4
3,4,2,16
3,5,2,14.3
1,1,3,19.1
1,2,3,20.6
1,3,3,22.8
1,4,3,26.8
1,5,3,24
2,1,3,11.5
2,2,3,10.4
2,3,3,16.7
2,4,3,17.1
2,5,3,18.8
3,1,3,20
3,2,3,25.5
3,3,3,21.4
3,4,3,11
3,5,3,21.3
1,1,4,22.1
1,2,4,28.6
1,3,4,28.3
1,4,4,27.3
1,5,4,22.5
2,1,4,6
2,2,4,19.4
2,3,4,19.7
2,4,4,7.6
2,5,4,21.3
3,1,4,14.5
3,2,4,16.5
3,3,4,19.9
3,4,4,7.5
3,5,4,6.3
1,1,5,25.1
1,2,5,15.1
1,3,5,21.3
1,4,5,26.8
1,5,5,28
2,1,5,27
2,2,5,11.9
2,3,5,18.2
2,4,5,13.6
2,5,5,16.3
3,1,5,19
3,2,5,18
3,3,5,10.4
3,4,5,14.5
3,5,5,7.8
1,1,6,18.1
1,2,6,24.6
1,3,6,18.3
1,4,6,26.8
1,5,6,22.5
2,1,6,18
2,2,6,15.4
2,3,6,12.2
2,4,6,21.1
2,5,6,14.3
3,1,6,16
3,2,6,17.5
3,3,6,21.4
3,4,6,15.5
3,5,6,13.8
