Drug,Hist,Time,Dog,H
M,D,0,1,3.02
M,D,0,2,3.25
M,D,0,3,3.29
M,D,0,4,3.31
M,I,0,1,4.36
M,I,0,2,4.67
M,I,0,3,4.42
M,I,0,4,4.53
T,D,0,1,2.1
T,D,0,2,2.06
T,D,0,3,2.22
T,D,0,4,2.37
T,I,0,1,2.81
T,I,0,2,2.6
T,I,0,3,2.75
T,I,0,4,2.79
M,D,1,1,2.89
M,D,1,2,2.69
M,D,1,3,2.67
M,D,1,4,2.7
M,I,1,1,3.88
M,I,1,2,4.04
M,I,1,3,4.09
M,I,1,4,3.85
T,D,1,1,1.78
T,D,1,2,1.83
T,D,1,3,1.68
T,D,1,4,2.03
T,I,1,1,2.52
T,I,1,2,2.45
T,I,1,3,2.29
T,I,1,4,2.31
M,D,3,1,2.8
M,D,3,2,2.89
M,D,3,3,2.66
M,D,3,4,2.68
M,I,3,1,3.67
M,I,3,2,3.82
M,I,3,3,3.86
M,I,3,4,4.11
T,D,3,1,1.81
T,D,3,2,1.83
T,D,3,3,1.8
T,D,3,4,1.73
T,I,3,1,2.5
T,I,3,2,2.8
T,I,3,3,2.56
T,I,3,4,2.67
M,D,5,1,2.88
M,D,5,2,3.07
M,D,5,3,2.9
M,D,5,4,2.87
M,I,5,1,3.99
M,I,5,2,3.84
M,I,5,3,3.85
M,I,5,4,4.16
T,D,5,1,1.89
T,D,5,2,1.73
T,D,5,3,1.74
T,D,5,4,1.73
T,I,5,1,2.55
T,I,5,2,2.71
T,I,5,3,2.76
T,I,5,4,2.52
