  Block A B C   y
    1   0 0 0 2208
    1   1 1 0 2133
    1   1 0 1 2459
    1   0 1 1 3096
    2   1 0 0 2196
    2   0 1 0 2086
    2   0 0 1 3356
    2   1 1 1 2776
    3   0 0 0 2004
    3   1 1 0 2112
    3   0 0 1 3073
    3   1 1 1 2631
    4   1 0 0 2179
    4   0 1 0 2073
    4   1 0 1 3474
    4   0 1 1 3360
    5   0 0 1 2839
    5   1 0 0 2189
    5   0 1 1 3522
    5   1 1 0 2095
    6   0 0 0 1916
    6   1 0 1 2979
    6   0 1 0 2151
    6   1 1 1 2500
    7   1 0 0 2056
    7   0 0 0 2010
    7   0 1 1 3209
    7   1 1 1 3066
    8   0 1 0 1878
    8   1 1 0 2156
    8   0 0 1 3423
    8   1 0 1 2524
