Obs	order	trtmt	length
1	1	4	13.2
2	2	6	11.6
3	3	2	0
4	4	2	0.6
5	5	5	5.1
6	6	6	2.3
7	7	2	9.5
8	8	6	6.7
9	9	6	2.5
10	10	6	10.6
11	11	4	14.8
12	12	2	11.3
13	13	4	10.7
14	14	1	1.5
15	15	1	1.1
16	16	3	5.2
17	17	2	12.6
18	18	1	1.3
19	19	6	10.8
20	20	4	13.8
21	21	5	3.3
22	22	6	15.9
23	23	3	0.4
24	24	4	9.6
25	25	6	9
26	26	5	0.2
27	27	2	8.1
28	28	5	3.9
29	29	2	7.8
30	30	1	0.9
31	31	3	3.6
32	32	5	7
33	33	5	9.5
34	34	4	0
35	35	1	8.5
36	36	3	2.8
37	37	2	7.3
38	38	5	11.1
39	39	1	10.6
40	40	4	0.6
41	41	5	6.2
42	42	1	3.5
43	43	1	7.4
44	44	4	8.2
45	45	3	12.3
46	46	3	14.1
47	47	3	0.3
48	48	3	1.8
