gNaFsc             gKdrsc             fr
0.385937290071208  0.212065173406466  33
0.0466692697836894 0.459474192932908   0
1                  0.447334377483263  46
0.954676373774016  0.33514067718784   44
0.533349287921537  0.798131013559272  41
0.591667506381835  0.604271369954062  41
0.185703009539164  0.3799468699614    31
0.499277844954991  0.244417047739457  36
0.746091125890098  0.394959146061479  42
0.0726941421469838 1                   0
0.279083534864974  0.278446271357374  32
0.349850530699987  0.514658984406942  35
0.646584878409244  0.891223898872612  43
0.209723061937391  0.714515151705759  34
0                  0.959177511778137   0
0.539941051995163  0.835284300220362  41
0.132364302028752  0.935652688057063   1
0.908114167674325  0.582193259991236  46
0.882208954722558  0.0980473557636867 39
0.399183796856106  0.554034758870557  36
0.227126158806933  0.676795759661008  34
0.825990024183797  0                  13
0.69148864705092   0.0638713640833391 36
0.797103822383447  0.0123536774834729 19
0.313259942227596  0.12558733433555   30
0.624311433561736  0.637168382804654  41
0.976487975278786  0.86048647322636   48
0.465542288055891  0.760872892567875  39
0.114386000268709  0.31165778719889   34
0.778105266693538  0.158125813776489  39
