block,density,yieldLoss
1,0,1.532
2,0,-0.661
3,0,-0.986
4,0,-0.697
5,0,-2.264
6,0,-1.623
7,0,-3.03
8,0,-1.864
9,0,-0.409
10,0,-0.648
11,0,2.015
12,0,-1.485
13,0,-1.189
14,0,-0.39
15,0,-1.382
1,14,11.533
2,14,12.944
3,14,13.476
4,14,10.61
5,14,14.729
6,14,12.425
7,14,12.718
8,14,12.032
9,14,12.37
10,14,12.883
11,14,14.135
12,14,15.575
13,14,12.073
14,14,16.624
15,14,13.466
1,19,17.292
2,19,21.768
3,19,18.969
4,19,13.538
5,19,19.641
6,19,21.306
7,19,15.524
8,19,19.068
9,19,19.357
10,19,17.058
11,19,16.792
12,19,16.295
13,19,16.088
14,19,19.08
15,19,21.729
1,28,21.469
2,28,21.813
3,28,23.527
4,28,19.612
5,28,25.658
6,28,24.375
7,28,22.217
8,28,20.628
9,28,22.902
10,28,22.982
11,28,22.799
12,28,23.24
13,28,21.168
14,28,23.556
15,28,22.677
1,32,23.633
2,32,26.164
3,32,28.938
4,32,22.486
5,32,27.884
6,32,27.289
7,32,22.895
8,32,25.784
9,32,26.644
10,32,26.718
11,32,24.287
12,32,23.943
13,32,23.75
14,32,25.249
15,32,25.214
1,38,26.668
2,38,27.306
3,38,29.479
4,38,24.079
5,38,31.843
6,38,29.418
7,38,26.269
8,38,25.732
9,38,29.363
10,38,26.439
11,38,27.363
12,38,25.749
13,38,26.468
14,38,29.721
15,38,28.995
1,54,32.049
2,54,33.225
3,54,37.65
4,54,30.042
5,54,41.692
6,54,35.915
7,54,32.031
8,54,30.936
9,54,33.511
10,54,32.337
11,54,32.849
12,54,34.053
13,54,30.055
14,54,35.731
15,54,32.268
1,82,38.916
2,82,40.585
3,82,38.401
4,82,36.911
5,82,47.119
6,82,42.517
7,82,41.647
8,82,40.758
9,82,41.731
10,82,39.409
11,82,38.068
12,82,43.596
13,82,38.487
14,82,42.608
15,82,41.36
