block,density,yield
1,0,29.90
2,0,34.23
3,0,37.12
4,0,26.37
5,0,34.48
6,0,33.70
7,0,32.73
8,0,30.60
9,0,31.94
10,0,29.52
1,14,27.15
2,14,30.02
3,14,32.58
4,14,21.07
5,14,29.44
6,14,30.08
7,14,24.79
8,14,25.96
9,14,27.37
10,14,26.81
1,19,26.17
2,19,27.69
3,19,30.89
4,19,19.97
5,19,28.99
6,19,28.93
7,19,24.82
8,19,24.58
9,19,25.55
10,19,25.56
1,28,19.01
2,28,25.65
3,28,27.85
4,28,16.40
5,28,27.75
6,28,28.49
7,28,26.01
8,28,22.54
9,28,25.82
10,28,22.48
1,32,21.27
2,32,28.79
3,32,28.15
4,32,15.75
5,32,26.90
6,32,29.03
7,32,20.96
8,32,24.32
9,32,24.24
10,32,23.60
1,38,18.61
2,38,22.80
3,38,25.90
4,38,15.88
5,38,28.18
6,38,24.63
7,38,18.85
8,38,19.61
9,38,20.96
10,38,21.24
1,54,13.67
2,54,18.37
3,54,19.74
4,54,10.22
5,54,22.22
6,54,21.24
7,54,16.86
8,54,15.25
9,54,15.55
10,54,16.18
1,82,5.65
2,82,10.50
3,82,15.67
4,82,3.93
5,82,12.88
6,82,12.75
7,82,6.31
8,82,8.61
9,82,8.79
10,82,14.05
