model,mpg,cyl,wt
Mazda RX4,21,6,2.62
Mercedes 240D,24.4,4,3.19
Mercedes 280,19.2,6,3.44
Mercedes 450SE,16.4,8,4.07
Mercedes 450SLC,15.2,8,3.78
Cadillac Fleetwood,10.4,8,5.25
Lincoln Continental,10.4,8,5.424
Chrysler Imperial,14.7,8,5.345
Fiat 128,32.4,4,2.2
Honda Civic,30.4,4,1.615
Toyota Corolla,33.9,4,1.835
Toyota Corona,21.5,4,2.465
Dodge Challenger,15.5,8,3.52
AMC Javelin,15.2,8,3.435
Camaro Z28,13.3,8,3.84
Pontiac Firebird,19.2,8,3.845
Lotus Europa,30.4,4,1.513
Ford Pantera,15.8,8,3.17
Ferrari Dino,19.7,6,2.77
Maserati Bora,15,8,3.57
