Web Browser Version, PerCentage Market Share
Chrome 61.0,35.16
Microsoft Internet Explorer 11.0,12.52
Chrome 55.0,7.40
Firefox 56,6.53
Microsoft Edge 14,3.60
Chrome 49.0,2.26
Chrome 60.0,2.19
Chrome 45.0,1.86
Chrome 62.0,1.76
Safari 11.0,1.70
Chrome 50.0,1.59
Microsoft Edge 15,1.43
Chrome 58.0,1.25
Firefox 55,1.24
Microsoft Internet Explorer 8.0,1.12
Firefox 52,1.06
Chrome 53.0,0.93
Safari 10.0,0.85
Opera 48,0.85
Firefox 53,0.83
Microsoft Internet Explorer 9.0,0.81
Firefox 40,0.76
Safari 10.1,0.66
Microsoft Edge 13,0.65
Chrome 47.0,0.64
Chrome 59.0,0.56
Microsoft Internet Explorer 10.0,0.54
Safari 8.0,0.52
Chrome 56.0,0.49
Firefox 57,0.47
Chrome 57.0,0.47
Chrome 43.0,0.41
Microsoft Edge 12,0.33
Chrome 60.4,0.28
Safari 9.1,0.26
Firefox 50,0.21
Firefox 54,0.20
Firefox 8.0,0.19
Firefox 47,0.19
Chrome 54.0,0.17
