rank,discipline,yrs.since.phd,yrs.service,sex,salary
Prof,Applied,19,18,M,139750
Prof,Applied,20,16,M,173200
AsstProf,Applied,4,3,M,79750
Prof,Applied,45,39,M,115000
Prof,Applied,40,41,M,141500
AssocProf,Applied,6,6,M,97000
Prof,Applied,30,23,M,175000
Prof,Applied,45,45,M,147765
Prof,Applied,21,20,M,119250
Prof,Applied,18,18,F,129000
AssocProf,Applied,12,8,M,119800
AsstProf,Applied,7,2,M,79800
AsstProf,Applied,1,1,M,77700
AsstProf,Applied,2,0,M,78000
Prof,Applied,20,18,M,104800
Prof,Applied,12,3,M,117150
Prof,Applied,19,20,M,101000
Prof,Theoretical,38,34,M,103450
Prof,Theoretical,37,23,M,124750
Prof,Theoretical,39,36,F,137000
Prof,Theoretical,31,26,M,89565
Prof,Theoretical,36,31,M,102580
Prof,Theoretical,34,30,M,93904
Prof,Theoretical,24,19,M,113068
AssocProf,Theoretical,13,8,F,74830
Prof,Theoretical,21,8,M,106294
Prof,Theoretical,35,23,M,134885
AsstProf,Applied,5,3,M,82379
AsstProf,Applied,11,0,M,77000
Prof,Applied,12,8,M,118223
Prof,Applied,20,4,M,132261
AsstProf,Applied,7,2,M,79916
Prof,Applied,13,9,M,117256
AsstProf,Applied,4,2,M,80225
AsstProf,Applied,4,2,F,80225
AsstProf,Applied,5,0,F,77000
Prof,Applied,22,21,M,155750
AsstProf,Applied,7,4,M,86373
Prof,Applied,41,31,M,125196
AssocProf,Applied,9,9,M,100938
Prof,Applied,23,2,M,146500
AssocProf,Applied,23,23,M,93418
Prof,Applied,40,27,M,101299
Prof,Applied,38,38,M,231545
Prof,Applied,19,19,M,94384
Prof,Applied,25,15,M,114778
Prof,Applied,40,28,M,98193
Prof,Applied,23,19,F,151768
Prof,Applied,25,25,F,140096
AsstProf,Applied,1,1,M,70768
Prof,Applied,28,28,M,126621
Prof,Applied,12,11,M,108875
AsstProf,Applied,11,3,F,74692
Prof,Applied,16,9,M,106639
AssocProf,Applied,12,11,M,103760
AssocProf,Applied,14,5,M,83900
Prof,Applied,23,21,M,117704
AssocProf,Applied,9,8,M,90215
AssocProf,Applied,10,9,M,100135
AsstProf,Applied,8,3,M,75044
AssocProf,Applied,9,8,M,90304
AsstProf,Applied,3,2,M,75243
Prof,Applied,33,31,M,109785
AssocProf,Applied,11,11,F,103613
AsstProf,Applied,4,3,M,68404
AssocProf,Applied,9,8,M,100522
Prof,Applied,22,12,M,101000
Prof,Applied,35,31,M,99418
Prof,Applied,17,17,F,111512
Prof,Applied,28,36,M,91412
Prof,Applied,17,2,M,126320
Prof,Applied,45,45,M,146856
Prof,Applied,29,19,M,100131
Prof,Applied,35,34,M,92391
Prof,Applied,28,23,M,113398
AsstProf,Applied,8,3,M,73266
Prof,Applied,17,3,M,150480
Prof,Applied,26,19,M,193000
AsstProf,Applied,3,1,M,86100
AsstProf,Applied,6,2,M,84240
Prof,Applied,43,28,M,150743
Prof,Applied,17,16,M,135585
Prof,Applied,22,20,M,144640
AsstProf,Applied,6,2,M,88825
Prof,Applied,17,18,F,122960
Prof,Applied,15,14,M,132825
Prof,Applied,37,37,M,152708
AsstProf,Applied,2,2,M,88400
Prof,Applied,25,25,M,172272
AssocProf,Applied,9,7,M,107008
AsstProf,Applied,10,5,F,97032
AssocProf,Applied,10,7,M,105128
AssocProf,Applied,10,7,M,105631
Prof,Applied,38,38,M,166024
Prof,Applied,21,20,M,123683
AsstProf,Applied,4,0,M,84000
AssocProf,Applied,17,12,M,95611
Prof,Applied,13,7,M,129676
Prof,Applied,30,14,M,102235
Prof,Applied,41,26,M,106689
Prof,Applied,42,25,M,133217
Prof,Applied,28,23,M,126933
Prof,Applied,16,5,M,153303
Prof,Applied,20,14,F,127512
AssocProf,Theoretical,18,10,M,83850
Prof,Theoretical,31,28,M,113543
AssocProf,Theoretical,11,8,M,82099
AssocProf,Theoretical,10,8,M,82600
AssocProf,Theoretical,15,8,M,81500
Prof,Theoretical,40,31,M,131205
Prof,Theoretical,20,16,M,112429
AssocProf,Theoretical,19,16,M,82100
AsstProf,Theoretical,3,1,M,72500
Prof,Theoretical,37,37,M,104279
Prof,Theoretical,12,0,F,105000
Prof,Theoretical,21,9,M,120806
Prof,Theoretical,30,29,M,148500
Prof,Theoretical,39,36,M,117515
AsstProf,Theoretical,4,1,M,72500
AsstProf,Theoretical,5,3,F,73500
Prof,Theoretical,14,14,M,115313
Prof,Theoretical,32,32,M,124309
Prof,Theoretical,24,22,M,97262
AssocProf,Theoretical,25,22,F,62884
Prof,Theoretical,24,22,M,96614
Prof,Theoretical,54,49,M,78162
Prof,Theoretical,28,26,M,155500
AsstProf,Theoretical,2,0,F,72500
Prof,Theoretical,32,30,M,113278
AsstProf,Theoretical,4,2,M,73000
AssocProf,Theoretical,11,9,M,83001
Prof,Theoretical,56,57,M,76840
AssocProf,Theoretical,10,8,F,77500
AsstProf,Theoretical,3,1,F,72500
Prof,Theoretical,35,25,M,168635
Prof,Theoretical,20,18,M,136000
Prof,Theoretical,16,14,M,108262
Prof,Theoretical,17,14,M,105668
AssocProf,Theoretical,10,7,M,73877
Prof,Theoretical,21,18,M,152664
AssocProf,Theoretical,14,8,M,100102
AssocProf,Theoretical,15,10,M,81500
Prof,Theoretical,19,11,M,106608
AsstProf,Applied,3,3,M,89942
Prof,Applied,27,27,M,112696
Prof,Applied,28,28,M,119015
AsstProf,Applied,4,4,M,92000
Prof,Applied,27,27,M,156938
Prof,Applied,36,26,F,144651
AsstProf,Applied,4,3,M,95079
Prof,Applied,14,12,M,128148
AsstProf,Applied,4,4,M,92000
Prof,Applied,21,9,M,111168
AssocProf,Applied,12,10,F,103994
AsstProf,Applied,4,0,M,92000
Prof,Applied,21,21,M,118971
AssocProf,Applied,12,18,M,113341
AsstProf,Applied,1,0,M,88000
AssocProf,Applied,6,6,M,95408
Prof,Applied,15,16,M,137167
AsstProf,Applied,2,2,M,89516
Prof,Applied,26,19,M,176500
AssocProf,Applied,22,7,M,98510
AsstProf,Applied,3,3,M,89942
AsstProf,Applied,1,0,M,88795
Prof,Applied,21,8,M,105890
Prof,Applied,16,16,M,167284
Prof,Applied,18,19,M,130664
AssocProf,Applied,8,6,M,101210
Prof,Applied,25,18,M,181257
AsstProf,Applied,5,5,M,91227
Prof,Applied,19,19,M,151575
Prof,Applied,37,24,M,93164
Prof,Applied,20,20,M,134185
AssocProf,Applied,17,6,M,105000
Prof,Applied,28,25,M,111751
AssocProf,Applied,10,7,M,95436
AssocProf,Applied,13,9,M,100944
Prof,Applied,27,14,M,147349
AsstProf,Applied,3,3,F,92000
Prof,Applied,11,11,M,142467
Prof,Applied,18,5,M,141136
AssocProf,Applied,8,8,M,100000
Prof,Applied,26,22,M,150000
Prof,Applied,23,23,M,101000
Prof,Applied,33,30,M,134000
AssocProf,Applied,13,10,F,103750
Prof,Applied,18,10,M,107500
AssocProf,Applied,28,28,M,106300
Prof,Applied,25,19,M,153750
Prof,Applied,22,9,M,180000
Prof,Applied,43,22,M,133700
Prof,Applied,19,18,M,122100
AssocProf,Applied,19,19,M,86250
AssocProf,Applied,48,53,M,90000
AssocProf,Applied,9,7,M,113600
AsstProf,Applied,4,4,M,92700
AsstProf,Applied,4,4,M,92000
Prof,Applied,34,33,M,189409
Prof,Applied,38,22,M,114500
AsstProf,Applied,4,4,M,92700
Prof,Applied,40,40,M,119700
Prof,Applied,28,17,M,160400
Prof,Applied,17,17,M,152500
Prof,Applied,19,5,M,165000
Prof,Applied,21,2,M,96545
Prof,Applied,35,33,M,162200
Prof,Applied,18,18,M,120000
AsstProf,Applied,7,2,M,91300
Prof,Applied,20,20,M,163200
AsstProf,Applied,4,3,M,91000
Prof,Applied,39,39,M,111350
Prof,Applied,15,7,M,128400
Prof,Applied,26,19,M,126200
AssocProf,Applied,11,1,M,118700
Prof,Applied,16,11,M,145350
Prof,Applied,15,11,M,146000
AssocProf,Applied,29,22,M,105350
AssocProf,Applied,14,7,F,109650
Prof,Applied,13,11,M,119500
Prof,Applied,21,21,M,170000
Prof,Applied,23,10,M,145200
AssocProf,Applied,13,6,M,107150
Prof,Applied,34,20,M,129600
Prof,Theoretical,38,35,M,87800
Prof,Theoretical,20,20,M,122400
AsstProf,Theoretical,3,1,M,63900
