"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",1,2.7,0.2,1.5,16.5,0,5.4,2.8,9.6
"2",2,1.9,-4.2,-1.2,19.2,0,0,0,0
"3",3,0.8,-2.5,-0.9,18.9,0,1.6,5.2,6.8
"4",4,4,-0.2,1.9,16.1,0,2.6,6.4,13.8
"5",5,3.3,0.4,1.9,16.1,0,1.8,2.6,4.2
"6",6,5.6,1.6,3.6,14.4,0,28.6,0,28.6
"7",7,8.5,3.3,5.9,12.1,0,14.6,0,14.6
"8",8,7.2,3.1,5.2,12.8,0,7,0,7
"9",9,4.5,0.3,2.4,15.6,0,1.6,0,1.6
"10",10,3.3,1.1,2.2,15.8,0,34,0,34
"11",11,5.9,3,4.5,13.5,0,2.6,0,2.6
"12",12,7,4.1,5.6,12.4,0,1.6,0,1.6
"13",13,6.5,4.4,5.5,12.5,0,0.6,0,0.6
"14",14,4.7,0.9,2.8,15.2,0,0,0,0
"15",15,3.6,2,2.8,15.2,0,0,0,0
"16",16,3,0.9,2,16,0,0,0,0
"17",17,2.2,0.4,1.3,16.7,0,0,0,0
"18",18,3.7,0.3,2,16,0,0,0,0
"19",19,3,0.1,1.6,16.4,0,0,0,0
"20",20,2.6,-1.6,0.5,17.5,0,0,0,0
"21",21,1.5,-1.3,0.1,17.9,0,0,0,0
"22",22,1.6,-0.9,0.4,17.6,0,0,0,0
"23",23,4.9,-1.9,1.5,16.5,0,0,0,0
"24",24,2.7,-3.4,-0.4,18.4,0,0,0,0
"25",25,3.5,-3.4,0.1,17.9,0,0,0,0
"26",26,2.6,-6.5,-2,20,0,0,0,0
"27",27,2.1,-1,0.6,17.4,0,3.6,0,3.6
"28",28,6.2,0.9,3.6,14.4,0,0.1,0,0.1
"29",29,5.5,2.2,3.9,14.1,0,0.6,0,0.6
"30",30,6.9,2.1,4.5,13.5,0,0.2,0,0.2
"31",31,7.1,-0.9,3.1,14.9,0,0,0,0
"32",1,4.2,0.3,2.3,15.7,0,18.4,0.1,18.4
"33",2,7.2,1.6,4.4,13.6,0,1.4,0,1.4
"34",3,10.3,-1.7,4.3,13.7,0,0,0,0
"35",4,11.4,0.6,6,12,0,0,0,0
"36",5,7.5,5.1,6.3,11.7,0,2,0,2
"37",6,7.5,1.4,4.5,13.5,0,2,0,2
"38",7,7.6,1.9,4.8,13.2,0,0,0,0
"39",8,7.9,0.9,4.4,13.6,0,0.4,0,0.4
"40",9,6.3,0.8,3.6,14.4,0,1.8,0,1.8
"41",10,4.2,-0.4,1.9,16.1,0,1,0.1,1
"42",11,6.5,0.9,3.7,14.3,0,1.2,0,1.2
"43",12,6.4,0.1,3.3,14.7,0,0,0,0
"44",13,6.2,-2.8,1.7,16.3,0,0,0,0
"45",14,6.4,-0.4,3,15,0,0,0,0
"46",15,6.9,-2.5,2.2,15.8,0,0,0,0
"47",16,6.6,-3.5,1.6,16.4,0,0,0,0
"48",17,8.7,1.2,5,13,0,0,0,0
"49",18,8.6,-0.7,4,14,0,0,0,0
"50",19,8,-2.1,3,15,0,0,0,0
"51",20,10.9,-1.8,4.6,13.4,0,0,0,0
"52",21,7.7,-2.5,2.6,15.4,0,0,0,0
"53",22,10.7,3.4,7.1,10.9,0,8,0,8
"54",23,12,7.1,9.6,8.4,0,12,0,12
"55",24,9.2,5.7,7.5,10.5,0,3.8,0,3.8
"56",25,8.2,-1,3.6,14.4,0,2.6,0.8,3.6
"57",26,2.2,-3,-0.4,18.4,0,0,0.8,1
"58",27,7.1,0.6,3.9,14.1,0,0,0.1,0.1
"59",28,6.8,1.6,4.2,13.8,0,0.2,0,0.2
"60",1,13.8,4.7,9.3,8.7,0,9.8,0,9.8
"61",2,13.1,6.2,9.7,8.3,0,3.8,0,3.8
"62",3,9.7,1.9,5.8,12.2,0,4.2,0,4.2
"63",4,8.5,1.6,5.1,12.9,0,0,0,0
"64",5,9.8,0.2,5,13,0,0.2,0,0.2
"65",6,7.4,-2.5,2.5,15.5,0,0,0,0
"66",7,6.6,1.8,4.2,13.8,0,0.6,0,0.6
"67",8,5.7,-3.2,1.3,16.7,0,0,0.1,0.1
"68",9,3.1,-2.4,0.4,17.6,0,0,5,5.4
"69",10,2.3,-5.3,-1.5,19.5,0,0,0,0
"70",11,4.4,-5.9,-0.8,18.8,0,0,0,0
"71",12,6.7,-3.6,1.6,16.4,0,0,0,0
"72",13,10.2,-0.2,5,13,0,0.4,0,0.4
"73",14,7.8,4.2,6,12,0,11.4,0,11.4
"74",15,7.4,0.9,4.2,13.8,0,8.2,0.4,8.6
"75",16,8,3.1,5.6,12.4,0,0.6,0,0.6
"76",17,8.6,3.6,6.1,11.9,0,1.4,0,1.4
"77",18,8.3,3.7,6,12,0,3.6,0,3.6
"78",19,8.4,5.6,7,11,0,13.6,0,13.6
"79",20,11.7,3,7.4,10.6,0,11.4,0,11.4
"80",21,7.8,-1.3,3.3,14.7,0,0,0,0
"81",22,9.1,-0.1,4.5,13.5,0,0.1,0,0.1
"82",23,6.9,2.5,4.7,13.3,0,6,0,6
"83",24,11.1,3,7.1,10.9,0,7.4,0,7.4
"84",25,8.5,4.3,6.4,11.6,0,0.1,0,0.1
"85",26,9.7,0.2,5,13,0,0,0,0
"86",27,10.2,5.3,7.8,10.2,0,0.1,0,0.1
"87",28,6.9,3.8,5.4,12.6,0,0.8,0,0.8
"88",29,9.8,0.4,5.1,12.9,0,0.1,0,0.1
"89",30,7.7,4.5,6.1,11.9,0,9.8,0,9.8
"90",31,9.5,3.9,6.7,11.3,0,5.6,0,5.6
